Config,Z,P_ff,I_ff,MaxR_P,MaxR_I
config_30_det1_b30_s20_h4_w1500,5,41.3983921590561,615.089943611065,,67.27302392235391
config_30_det1_b30_s20_h4_w1500,6,30.5947542861908,517.737731419071,,89.73944229620237
config_30_det1_b30_s20_h4_w1500,7,24.0675826659041,446.310779861523,,105.78058068473626
config_30_det1_b30_s20_h4_w1500,8,19.5984247045618,391.790936353185,,117.4074712690835
config_30_det1_b30_s20_h4_w1500,9,14.813237392189,347.069530043393,,137.5811839800254
config_30_det1_b30_s20_h4_w1500,10,12.2749345250106,314.281592480616,,155.71627194875535
config_30_det1_b30_s20_h4_w1500,11,10.3785968167878,286.18006793008,,159.55050941462952
config_31_det1_b30_s20_h12_w50,1,1143.99309910078,724.976931135836,4.082920412019968,12.141873555646391
config_31_det1_b30_s20_h12_w50,2,226.084029078955,415.578696008349,11.838801704477158,17.070033385330703
config_31_det1_b30_s20_h12_w50,3,95.9537592016972,309.044693901097,17.052151483371446,18.780872134774185
config_31_det1_b30_s20_h12_w50,4,55.3066653883184,243.601640148777,19.508627551892157,22.298388631380643
config_31_det1_b30_s20_h12_w50,5,36.993922117345,199.162959091226,21.543332599910364,24.735150606337395
config_31_det1_b30_s20_h12_w50,6,27.0813487792226,167.515272305283,,39.38588479370615
config_32_det1_b30_s20_h12_w500,1,1371.96964499226,1562.09876717853,13.187271333347622,18.180451857499357
config_32_det1_b30_s20_h12_w500,2,259.641330065364,879.048720659531,20.948557163360384,38.45544556875231
config_32_det1_b30_s20_h12_w500,3,105.27554977829,661.976402363107,38.67898724189845,54.14980167824136
config_32_det1_b30_s20_h12_w500,4,59.8243642194367,522.325202955406,45.12456868972559,64.70764087731722
config_32_det1_b30_s20_h12_w500,5,40.4077641479295,425.720697172114,52.93246656450868,67.195396047646
config_33_det1_b30_s20_h12_w1500,1,1482.77218730659,2195.12941567296,17.35045750088189,37.095756863872715
config_33_det1_b30_s20_h12_w1500,2,276.168535055985,1274.88781758312,38.05445421716532,61.31116757245371
config_33_det1_b30_s20_h12_w1500,3,110.489999377789,954.913490984421,47.70433992934992,68.33358024896008
config_33_det1_b30_s20_h12_w1500,4,62.265165672113,754.396736282332,72.36860173195646,91.6309059057275
config_33_det1_b30_s20_h12_w1500,5,41.3983921590561,615.089943611065,,95.49567322266871
config_33_det1_b30_s20_h12_w1500,6,30.5947542861908,517.737731419071,,113.58947752656717
config_33_det1_b30_s20_h12_w1500,7,24.0675826659041,446.310779861523,,135.0448999407234
config_34_det1_b30_s20_h24_w50,1,1143.99309910078,724.976931135836,4.082920412019968,12.141873555646391
config_34_det1_b30_s20_h24_w50,2,226.084029078955,415.578696008349,11.838801704477158,17.070033385330703
config_34_det1_b30_s20_h24_w50,3,95.9537592016972,309.044693901097,17.052151483371446,18.780872134774185
config_34_det1_b30_s20_h24_w50,4,55.3066653883184,243.601640148777,19.508627551892157,22.298388631380643
config_34_det1_b30_s20_h24_w50,5,36.993922117345,199.162959091226,21.543332599910364,24.735150606337395
config_34_det1_b30_s20_h24_w50,6,27.0813487792226,167.515272305283,,39.38588479370615
config_35_det1_b30_s20_h24_w500,1,1371.96964499226,1562.09876717853,13.187271333347622,18.180451857499357
config_35_det1_b30_s20_h24_w500,2,259.641330065364,879.048720659531,20.948557163360384,39.11096328017458
config_35_det1_b30_s20_h24_w500,3,105.27554977829,661.976402363107,38.67898724189845,61.56229896045231
config_35_det1_b30_s20_h24_w500,4,59.8243642194367,522.325202955406,45.12456868972559,67.86497717945052
config_35_det1_b30_s20_h24_w500,5,40.4077641479295,425.720697172114,53.21347142731312,70.55430902441361
config_36_det1_b30_s20_h24_w1500,1,1482.77218730659,2195.12941567296,17.35045750088189,37.095756863872715
config_36_det1_b30_s20_h24_w1500,2,276.168535055985,1274.88781758312,38.05445421716532,64.64933579360671
config_36_det1_b30_s20_h24_w1500,3,110.489999377789,954.913490984421,47.70433992934992,71.55537088966987
config_36_det1_b30_s20_h24_w1500,4,62.265165672113,754.396736282332,72.53492682434639,89.84640363272565
config_36_det1_b30_s20_h24_w1500,5,41.3983921590561,615.089943611065,,93.43740063073925
config_36_det1_b30_s20_h24_w1500,6,30.5947542861908,517.737731419071,,123.54628745265393
config_37_det2_b15_s5_h4_w50,1,1143.99309910078,724.976931135836,5.391613515501493,10.575265954102525
config_37_det2_b15_s5_h4_w50,2,226.084029078955,415.578696008349,11.778486603958928,18.828555424923636
config_37_det2_b15_s5_h4_w50,3,95.9537592016972,309.044693901097,18.601328384129538,27.158078908494247
