ConfigName,Det,Height,BuildingSize,StreetWidth,AreaDensity,VolumeDensity,ChargeWeight,RadiusP,RadiusI,PressureAtR,ImpulseAtR
config_52_det2_b15_s20_h24_w50,2,24,15,20,0.1836734693877551,0.1836734693877551,50,18.478592343574224,38.48696370201213,0.3619145475386176,123.4785385131836
config_53_det2_b15_s20_h24_w500,2,24,15,20,0.1836734693877551,0.1836734693877551,500,54.0430639757674,78.7368003928983,2.3278955953859035,120.91510414422012
config_54_det2_b15_s20_h24_w1500,2,24,15,20,0.1836734693877551,0.1836734693877551,1500,81.25937680935317,119.82225997748128,18.666557432964453,62.59663448214765
config_55_det2_b30_s5_h4_w50,2,4,30,5,0.7346938775510204,0.12244897959183675,50,23.248598822772568,45.492417103171036,0.5364693112729584,4.2185475975275875
config_56_det2_b30_s5_h4_w500,2,4,30,5,0.7346938775510204,0.12244897959183675,500,53.775081615724005,90.06412676840627,0.27008594012002796,7.864774227142334
config_57_det2_b30_s5_h4_w1500,2,4,30,5,0.7346938775510204,0.12244897959183675,1500,82.23785548638776,143.38921904693146,4.849495401041533,247.8668975830078
config_58_det2_b30_s5_h12_w50,2,12,30,5,0.7346938775510204,0.3673469387755102,50,33.32031516624322,51.996532603412874,0.5815703272819519,0.4893929958343506
config_59_det2_b30_s5_h12_w500,2,12,30,5,0.7346938775510204,0.3673469387755102,500,78.99969453175822,95.0860914732889,5.346551115071637,127.65635227561306
config_60_det2_b30_s5_h12_w1500,2,12,30,5,0.7346938775510204,0.3673469387755102,1500,95.32284827247756,151.9746338483279,12.139168209488567,400.6740417480469
config_61_det2_b30_s5_h24_w50,2,24,30,5,0.7346938775510204,0.7346938775510204,50,21.789207636911545,46.01416101472338,1.6144288606999906,0.5131825149059228
config_62_det2_b30_s5_h24_w500,2,24,30,5,0.7346938775510204,0.7346938775510204,500,69.63994952212735,117.62104787314973,1.170365636107678,91.48795819282532
config_63_det2_b30_s5_h24_w1500,2,24,30,5,0.7346938775510204,0.7346938775510204,1500,123.26670294753387,173.0948387284972,3.908549952757312,494.3425598144531
config_64_det2_b30_s20_h4_w50,2,4,30,20,0.36,0.06,50,20.68176431061915,40.8827760187588,0.1652389623282943,100.42744445800781
config_65_det2_b30_s20_h4_w500,2,4,30,20,0.36,0.06,500,69.08073085166369,106.03330916640192,12.83003749316473,193.01156616210938
config_66_det2_b30_s20_h4_w1500,2,4,30,20,0.36,0.06,1500,94.12551895976162,159.17409668521935,1.8293612930753236,7.003053903579712
config_67_det2_b30_s20_h12_w50,2,12,30,20,0.36,0.18000000000000002,50,22.392909033888387,37.223680298970976,0.9248343922256026,9.984355688095091
config_68_det2_b30_s20_h12_w500,2,12,30,20,0.36,0.18000000000000002,500,66.317902413719,97.58119631875805,27.581811904907227,15.903191929462993
config_69_det2_b30_s20_h12_w1500,2,12,30,20,0.36,0.18000000000000002,1500,85.54272681596672,148.93590623710142,8.473675043141702,247.3951873779297
config_70_det2_b30_s20_h24_w50,2,24,30,20,0.36,0.36000000000000004,50,22.392909033888387,37.223680298970976,0.5298740454076324,11.941639831662176
config_71_det2_b30_s20_h24_w500,2,24,30,20,0.36,0.36000000000000004,500,60.60100968630804,81.8209977973598,11.730929374694824,19.65592176139783
config_72_det2_b30_s20_h24_w1500,2,24,30,20,0.36,0.36000000000000004,1500,78.82260515444369,150.0992403193449,15.551726341247559,1.0810189470648766
config_73_det1_b10_s8_h10_w250,1,10,10,8,0.30864197530864196,0.1286008230452675,250,50.767114793382184,82.79417216473901,27.919109344482422,22.434162843227366
config_74_det1_b10_s8_h10_w1000,1,10,10,8,0.30864197530864196,0.1286008230452675,1000,83.3476987618068,124.11059584096758,0.7037314571498428,284.1464538574219
config_75_det1_b10_s8_h15_w250,1,15,10,8,0.30864197530864196,0.19290123456790123,250,42.29496194058525,78.13443356378373,15.62610912322998,17.7784490585327
config_76_det1_b10_s8_h15_w1000,1,15,10,8,0.30864197530864196,0.19290123456790123,1000,78.34984196608893,122.80487780983657,7.805606300389627,33.29127138853073
config_77_det1_b10_s12_h10_w250,1,10,10,12,0.2066115702479339,0.08608815426997246,250,40.37670378242054,57.77554100905406,9.784172058105469,142.00779724121094
config_78_det1_b10_s12_h10_w1000,1,10,10,12,0.2066115702479339,0.08608815426997246,1000,75.81244364292124,107.02061237080558,11.302062034606934,239.0075075149536
config_79_det1_b10_s12_h15_w250,1,15,10,12,0.2066115702479339,0.1291322314049587,250,39.473932854480054,48.72710972571862,9.932296752929688,49.105777740478516
config_80_det1_b10_s12_h15_w1000,1,15,10,12,0.2066115702479339,0.1291322314049587,1000,71.21937792249147,100.28872908036853,15.137484550476074,116.25531424284056
config_81_det2_b10_s8_h10_w250,2,10,10,8,0.30864197530864196,0.1286008230452675,250,54.48876859296581,85.35707840204779,5.65456774905906,45.54897741079332
config_82_det2_b10_s8_h10_w1000,2,10,10,8,0.30864197530864196,0.1286008230452675,1000,89.4043432017334,119.80127944039477,7.900683600461344,111.91093516349792
config_83_det2_b10_s8_h15_w250,2,15,10,8,0.30864197530864196,0.19290123456790123,250,40.7804993225929,81.51268076195262,35.50276565551758,50.729510843753815
config_84_det2_b10_s8_h15_w1000,2,15,10,8,0.30864197530864196,0.19290123456790123,1000,87.44903015471354,122.68516176240168,6.011548454320291,280.779052734375
config_85_det2_b10_s12_h10_w250,2,10,10,12,0.2066115702479339,0.08608815426997246,250,46.23921901373335,87.91313176147868,12.26295280456543,66.83414028882873
config_86_det2_b10_s12_h10_w1000,2,10,10,12,0.2066115702479339,0.08608815426997246,1000,92.47945755379648,130.04124943861297,5.104026794092691,251.70098304748535
config_87_det2_b10_s12_h15_w250,2,15,10,12,0.2066115702479339,0.1291322314049587,250,44.04734242834634,67.91244618788387,13.677218437194824,192.31578063964844
config_88_det2_b10_s12_h15_w1000,2,15,10,12,0.2066115702479339,0.1291322314049587,1000,80.53556503875235,123.48525721720792,7.7242711347887445,68.43830320239067
config_89_det1_b10_s5_h15_w250,1,15,10,5,0.4444444444444444,0.27777777777777773,250,46.82881932575755,90.6173664984318,11.231633186340332,128.72047256469725
config_90_det1_b10_s5_h15_w1000,1,15,10,5,0.4444444444444444,0.27777777777777773,1000,82.19160735406288,120.36048083661939,7.06881564334617,100.7017224609852
config_91_det1_b10_s5_h24_w250,1,24,10,5,0.4444444444444444,0.4444444444444444,250,36.7654457337321,78.97461617507236,20.804664611816406,37.156193411350245
config_92_det1_b10_s5_h24_w1000,1,24,10,5,0.4444444444444444,0.4444444444444444,1000,82.14041137318193,127.4581541896965,12.797952651977539,342.26983642578125
config_93_det2_b10_s5_h15_w250,2,15,10,5,0.4444444444444444,0.27777777777777773,250,62.328853560057645,93.3747780750003,22.945297241210938,145.72943115234375
config_94_det2_b10_s5_h15_w1000,2,15,10,5,0.4444444444444444,0.27777777777777773,1000,98.94929600838782,128.85440216901142,23.76006317138672,247.6289520263672
config_95_det2_b10_s5_h24_w250,2,24,10,5,0.4444444444444444,0.4444444444444444,250,38.15139013777145,87.46906667502518,1.9174512751458685,167.17941284179688
config_96_det2_b10_s5_h24_w1000,2,24,10,5,0.4444444444444444,0.4444444444444444,1000,96.22480795858554,143.9469024405257,10.312140464782715,280.6866455078125
