ConfigName,R_convergence1,R_convergence2,R_convergence3
config_74_det1_b10_s8_h10_w1000,108.91510455395982,104.49931174654219,83.3476987618068
config_75_det1_b10_s8_h15_w250,56.47584660720014,49.32592746542933,42.29496194058525
config_76_det1_b10_s8_h15_w1000,120.17017620857514,107.221465345313,78.34984196608893
config_77_det1_b10_s12_h10_w250,50.025056221857454,48.03757870188787,40.37670378242054
config_78_det1_b10_s12_h10_w1000,112.64176068403759,104.42935120520156,75.81244364292124
config_79_det1_b10_s12_h15_w250,48.708315511830214,47.859068303165365,39.473932854480054
config_80_det1_b10_s12_h15_w1000,78.81875569938921,77.59647291517686,71.21937792249147
config_81_det2_b10_s8_h10_w250,84.81468770207198,79.47486100420872,54.48876859296581
config_82_det2_b10_s8_h10_w1000,115.38466644229639,111.50928772976717,89.4043432017334
config_83_det2_b10_s8_h15_w250,50.868027777770195,47.31364760827472,40.7804993225929
config_84_det2_b10_s8_h15_w1000,124.23101967705166,122.9645845553217,87.44903015471354
config_85_det2_b10_s12_h10_w250,74.2614385128648,72.02663569819154,46.23921901373335
config_86_det2_b10_s12_h10_w1000,137.09347632181482,128.46714603260443,92.47945755379648
config_87_det2_b10_s12_h15_w250,50.86271964808803,50.59526904760958,44.04734242834634
config_88_det2_b10_s12_h15_w1000,137.09347632181482,122.97022505468549,80.53556503875235
config_89_det1_b10_s5_h15_w250,79.8984120618176,75.28359162522042,46.82881932575755
config_90_det1_b10_s5_h15_w1000,113.77166277241446,105.47976252694485,82.19160735406288
config_91_det1_b10_s5_h24_w250,52.876329770512626,46.540963100713796,36.7654457337321
config_92_det1_b10_s5_h24_w1000,129.66218126346632,121.36888603911146,82.14041137318193
config_93_det2_b10_s5_h15_w250,89.21387924532819,86.03851654500039,62.328853560057645
config_94_det2_b10_s5_h15_w1000,116.90443212299525,115.44256688934112,98.94929600838782
config_95_det2_b10_s5_h24_w250,47.95603455249401,47.62877281643944,38.15139013777145
config_96_det2_b10_s5_h24_w1000,146.37494662680496,136.88603940762727,96.22480795858554
