Config,Z,P_ff,I_ff,MaxR_P,MaxR_I
config_15_det1_b15_s20_h12_w1500,1,1482.77218730659,2195.12941567296,12.93526207406224,31.252444854736066
config_15_det1_b15_s20_h12_w1500,2,276.168535055985,1274.88781758312,33.35247926120476,43.651613429130826
config_15_det1_b15_s20_h12_w1500,3,110.489999377789,954.913490984421,41.34543005742211,65.29552701530446
config_15_det1_b15_s20_h12_w1500,4,62.265165672113,754.396736282332,58.37580453033351,73.49708915849936
config_15_det1_b15_s20_h12_w1500,5,41.3983921590561,615.089943611065,81.83755669647181,83.906110121116
config_15_det1_b15_s20_h12_w1500,6,30.5947542861908,517.737731419071,,99.666504308545
config_15_det1_b15_s20_h12_w1500,7,24.0675826659041,446.310779861523,,114.81560840432306
config_15_det1_b15_s20_h12_w1500,8,19.5984247045618,391.790936353185,,118.40021115724153
config_16_det1_b15_s20_h24_w50,1,1143.99309910078,724.976931135836,3.74849969987994,11.2759164625353
config_16_det1_b15_s20_h24_w50,2,226.084029078955,415.578696008349,11.073265236896598,12.0713077719621
config_16_det1_b15_s20_h24_w50,3,95.9537592016972,309.044693901097,12.258921216904586,13.25910062108634
config_16_det1_b15_s20_h24_w50,4,55.3066653883184,243.601640148777,15.124293641248961,15.721754518943758
config_16_det1_b15_s20_h24_w50,5,36.993922117345,199.162959091226,18.879437309133483,32.97109790215787
config_16_det1_b15_s20_h24_w50,6,27.0813487792226,167.515272305283,,34.68671537063909
config_16_det1_b15_s20_h24_w50,7,21.0130117246902,144.270449058323,,35.46484539862658
config_17_det1_b15_s20_h24_w500,1,1371.96964499226,1562.09876717853,11.838801704477158,12.3436417883287
config_17_det1_b15_s20_h24_w500,2,259.641330065364,879.048720659531,16.88182437436579,32.97109790215787
config_17_det1_b15_s20_h24_w500,3,105.27554977829,661.976402363107,34.23131709011904,40.30750787616209
config_17_det1_b15_s20_h24_w500,4,59.8243642194367,522.325202955406,37.354065456104976,46.09507220883782
config_17_det1_b15_s20_h24_w500,5,40.4077641479295,425.720697172114,47.62137429889673,52.36038005141783
config_17_det1_b15_s20_h24_w500,6,30.0937750463872,358.05135977561,,66.03285945659854
config_18_det1_b15_s20_h24_w1500,1,1482.77218730659,2195.12941567296,12.93526207406224,31.252444854736066
config_18_det1_b15_s20_h24_w1500,2,276.168535055985,1274.88781758312,33.35247926120476,44.40158380804429
config_18_det1_b15_s20_h24_w1500,3,110.489999377789,954.913490984421,41.41943170100059,49.17869788770332
config_18_det1_b15_s20_h24_w1500,4,62.265165672113,754.396736282332,58.37580453033351,66.14986990505642
config_18_det1_b15_s20_h24_w1500,5,41.3983921590561,615.089943611065,68.35190020074094,80.69986284269154
config_18_det1_b15_s20_h24_w1500,6,30.5947542861908,517.737731419071,,95.3291221287731
config_19_det1_b30_s5_h4_w50,1,1143.99309910078,724.976931135836,5.2932166690808975,13.32729646097413
config_19_det1_b30_s5_h4_w50,2,226.084029078955,415.578696008349,11.776671826773764,17.629754611304378
config_19_det1_b30_s5_h4_w50,3,95.9537592016972,309.044693901097,20.123483931019877,22.249177897067153
config_19_det1_b30_s5_h4_w50,4,55.3066653883184,243.601640148777,25.08207629900074,27.703242484004143
config_19_det1_b30_s5_h4_w50,5,36.993922117345,199.162959091226,,33.13696378361843
config_19_det1_b30_s5_h4_w50,6,27.0813487792226,167.515272305283,,36.26255132910487
config_20_det1_b30_s5_h4_w500,1,1371.96964499226,1562.09876717853,13.276906642738737,20.490147724619973
config_20_det1_b30_s5_h4_w500,2,259.641330065364,879.048720659531,26.38260664734866,32.502020065911175
config_20_det1_b30_s5_h4_w500,3,105.27554977829,661.976402363107,38.49459716465712,38.73261262578603
config_20_det1_b30_s5_h4_w500,4,59.8243642194367,522.325202955406,47.603717619430356,52.36556704877139
config_20_det1_b30_s5_h4_w500,5,40.4077641479295,425.720697172114,,60.80069824603018
config_20_det1_b30_s5_h4_w500,6,30.0937750463872,358.05135977561,,72.7656609235847
config_20_det1_b30_s5_h4_w500,7,23.5282591644182,308.420236242715,,83.53168039612319
config_20_det1_b30_s5_h4_w500,8,19.0428108742971,270.599644012954,,87.85319824884559
config_21_det1_b30_s5_h4_w1500,1,1482.77218730659,2195.12941567296,20.58658601565109,29.193213490547667
config_21_det1_b30_s5_h4_w1500,2,276.168535055985,1274.88781758312,35.464780655752385,39.49369883538489
config_21_det1_b30_s5_h4_w1500,3,110.489999377789,954.913490984421,54.081492691084335,53.83809827964668
config_21_det1_b30_s5_h4_w1500,4,62.265165672113,754.396736282332,61.685794223500054,72.64467362810868
config_21_det1_b30_s5_h4_w1500,5,41.3983921590561,615.089943611065,,82.68356710729233
config_21_det1_b30_s5_h4_w1500,6,30.5947542861908,517.737731419071,,99.11506321655611
config_21_det1_b30_s5_h4_w1500,7,24.0675826659041,446.310779861523,,113.54448865992667
config_21_det1_b30_s5_h4_w1500,8,19.5984247045618,391.790936353185,,142.32664345803346
config_21_det1_b30_s5_h4_w1500,9,14.813237392189,347.069530043393,,146.90430469740676
config_22_det1_b30_s5_h12_w50,1,1143.99309910078,724.976931135836,,14.32582456293501
config_22_det1_b30_s5_h12_w50,2,226.084029078955,415.578696008349,11.98771031883108,20.43949582543005
config_22_det1_b30_s5_h12_w50,3,95.9537592016972,309.044693901097,20.33116944852132,37.70401125774121
config_22_det1_b30_s5_h12_w50,4,55.3066653883184,243.601640148777,24.883601349199303,39.645937182125415
config_22_det1_b30_s5_h12_w50,5,36.993922117345,199.162959091226,,39.643975360983084
config_22_det1_b30_s5_h12_w50,6,27.0813487792226,167.515272305283,,39.7956551600275
config_23_det1_b30_s5_h12_w500,1,1371.96964499226,1562.09876717853,13.505149304469624,41.0474717980849
config_23_det1_b30_s5_h12_w500,2,259.641330065364,879.048720659531,28.06936233388433,39.57923209563135
config_23_det1_b30_s5_h12_w500,3,105.27554977829,661.976402363107,37.63166902903722,60.318125274298446
config_23_det1_b30_s5_h12_w500,4,59.8243642194367,522.325202955406,61.13513375827127,67.07545712237194
config_23_det1_b30_s5_h12_w500,5,40.4077641479295,425.720697172114,,86.53258102070936
config_23_det1_b30_s5_h12_w500,6,30.0937750463872,358.05135977561,,91.41370559021527
config_24_det1_b30_s5_h12_w1500,1,1482.77218730659,2195.12941567296,21.860563919067108,49.39610582304553
config_24_det1_b30_s5_h12_w1500,2,276.168535055985,1274.88781758312,44.9449698166707,61.63963690133514
config_24_det1_b30_s5_h12_w1500,3,110.489999377789,954.913490984421,62.92960391956146,72.4822052574673
config_24_det1_b30_s5_h12_w1500,4,62.265165672113,754.396736282332,86.0266570306348,87.51980647626618
config_24_det1_b30_s5_h12_w1500,5,41.3983921590561,615.089943611065,,110.5967925138543
config_24_det1_b30_s5_h12_w1500,6,30.5947542861908,517.737731419071,,132.24677907724268
config_25_det1_b30_s5_h24_w50,2,226.084029078955,415.578696008349,,20.123483931019877
config_25_det1_b30_s5_h24_w50,3,95.9537592016972,309.044693901097,20.34079069278783,35.99668947670641
