Config,Z,P_ff,I_ff,MaxR_P,MaxR_I,beyond_P,beyond_I,RadiusEstimator
config_52_det2_b15_s20_h24_w50,11,10.4441745847862,92.3147739934436,49.98050870089259,58.02625483348034,True,True,p95
config_52_det2_b15_s20_h24_w50,12,9.18858802088564,84.6488737667435,58.76143505735713,63.398471984741086,True,True,p95
config_52_det2_b15_s20_h24_w50,13,8.17952811343337,78.1526248923616,61.053224730557844,66.40147776970028,True,True,p95
config_52_det2_b15_s20_h24_w50,14,7.35329010871709,72.5789333035372,64.76987146814481,69.25038808555516,True,True,p95
config_52_det2_b15_s20_h24_w50,15,6.66553395622582,67.7448225492957,67.9459435875314,71.81264686669054,True,True,p95
config_52_det2_b15_s20_h24_w50,16,6.08550710316677,63.5135734450523,72.24933390696415,73.90274859570515,True,True,p95
config_52_det2_b15_s20_h24_w50,17,5.59016165342281,59.7788117000728,80.62531395287711,81.51620237719615,True,True,p95
config_52_det2_b15_s20_h24_w50,18,5.1628769216908,56.4585920266622,82.60363944766598,82.49488620514607,True,True,p95
config_52_det2_b15_s20_h24_w50,19,4.7910922066594,53.4876153308822,86.65619568155529,88.09157876891524,True,True,p95
config_52_det2_b15_s20_h24_w50,20,4.46481413819361,50.8136682209736,90.25894000042322,92.76072040470578,True,True,p95
config_53_det2_b15_s20_h24_w500,1,1371.96964499226,1562.09876717853,9.038044589400961,17.08848296368054,False,False,p95
config_53_det2_b15_s20_h24_w500,2,259.641330065364,879.048720659531,21.63980706938026,29.486543541079886,False,False,p95
config_53_det2_b15_s20_h24_w500,3,105.27554977829,661.976402363107,30.82947047874809,36.39239274903479,False,False,p95
config_53_det2_b15_s20_h24_w500,4,59.8243642194367,522.325202955406,46.59824299262795,47.33932033732634,False,False,p95
config_53_det2_b15_s20_h24_w500,5,40.4077641479295,425.720697172114,51.09487498761494,58.746116892948756,False,False,p95
config_53_det2_b15_s20_h24_w500,6,30.0937750463872,358.05135977561,65.25267235906894,65.47710477716619,False,False,p95
config_53_det2_b15_s20_h24_w500,7,23.5282591644182,308.420236242715,70.16609758280704,69.22699076227421,True,False,p95
