Config,Z,P_ff,I_ff,MaxR_P,MaxR_I,beyond_P,beyond_I,RadiusEstimator
config_86_det2_b10_s12_h10_w1000,5,41.4805494791667,537.798126220703,70.03322336577119,64.95599696461187,False,False,req
config_86_det2_b10_s12_h10_w1000,6,30.7686484375,452.795272827148,80.63297945009845,75.43100517470695,False,False,req
config_86_det2_b10_s12_h10_w1000,7,24.04661328125,390.392094930013,95.02712967884487,89.51717921717596,True,False,req
config_86_det2_b10_s12_h10_w1000,8,19.4677135416667,342.550003051758,102.04971793471825,98.98255086125029,True,False,req
config_86_det2_b10_s12_h10_w1000,9,16.21081640625,304.876281738281,107.72654262581302,110.51928979443665,True,False,req
config_86_det2_b10_s12_h10_w1000,10,12.85248046875,271.698257446289,120.06381538119172,124.07076788850966,True,False,req
config_86_det2_b10_s12_h10_w1000,11,10.4575859375,248.922744750977,134.28551826860058,134.92987077655482,True,True,req
config_86_det2_b10_s12_h10_w1000,12,8.91555078125,228.986923217773,145.8607945573069,147.46799558623636,True,True,req
config_86_det2_b10_s12_h10_w1000,13,7.87199609375,211.807258605957,155.0722577990302,159.07471602293614,True,True,req
config_86_det2_b10_s12_h10_w1000,14,7.05954296875,196.793830871582,167.659890436297,172.74531268765458,True,True,req
config_86_det2_b10_s12_h10_w1000,15,6.37659375,183.734001159668,176.98510601177716,182.62220794123954,True,True,req
config_86_det2_b10_s12_h10_w1000,16,5.808765625,172.296012878418,186.75207859917145,200.31893667072242,True,True,req
config_86_det2_b10_s12_h10_w1000,17,5.32770703125,162.19344329834,198.42419137348708,209.7633024519674,True,True,req
config_86_det2_b10_s12_h10_w1000,18,4.91498046875,153.208526611328,214.53937413807176,225.30790968509444,True,True,req
config_86_det2_b10_s12_h10_w1000,19,4.55701953125,145.16609954834,223.31944919529263,234.0444609945346,True,True,req
config_86_det2_b10_s12_h10_w1000,20,4.24378515625,137.92414855957,234.91285322670427,250.83180232090896,True,True,req
config_87_det2_b10_s12_h15_w250,1,1322.68273568211,1231.55614540992,6.992147381169821,8.509178867552379,False,False,req
config_87_det2_b10_s12_h15_w250,2,252.93209269631,694.862830042474,13.07277227675905,15.889631052985466,False,False,req
config_87_det2_b10_s12_h15_w250,3,104.998977908618,525.24000926827,17.54284398266142,21.75975356018537,False,False,req
config_87_det2_b10_s12_h15_w250,4,59.7200348642112,414.304889211797,24.020041111538507,29.520211296669267,False,False,req
config_87_det2_b10_s12_h15_w250,5,39.8568210825817,338.841406453851,30.594613496496404,34.71673047681765,False,False,req
config_87_det2_b10_s12_h15_w250,6,29.1032232969694,285.270286428345,37.58799509151825,40.83223689004123,False,False,req
config_87_det2_b10_s12_h15_w250,7,22.5780158271681,245.899008295199,41.95829328035162,53.8030377859838,False,False,req
config_87_det2_b10_s12_h15_w250,8,18.2704668808745,215.87945345554,46.26077577170535,59.797958786232826,True,False,req
config_87_det2_b10_s12_h15_w250,9,15.2425257500057,192.266813750414,51.56695041400064,69.11497234881729,True,True,req
config_87_det2_b10_s12_h15_w250,10,13.0104568662737,173.233610024881,57.47542844555402,77.37532794760872,True,True,req
config_87_det2_b10_s12_h15_w250,11,11.3050806069729,157.581691801359,62.85274755330907,87.76526006911845,True,True,req
config_87_det2_b10_s12_h15_w250,12,9.96424838716288,144.494696357211,72.44425356782965,93.95940014176335,True,True,req
config_87_det2_b10_s12_h15_w250,13,8.88536700979521,133.398136789257,79.8947299576136,102.16554872960954,True,True,req
config_87_det2_b10_s12_h15_w250,14,8.00069163608761,123.875447271731,92.3462959462912,108.55606040198768,True,True,req
config_87_det2_b10_s12_h15_w250,15,7.26352017039033,115.570070080883,97.7695585008158,114.39770636783861,True,True,req
config_87_det2_b10_s12_h15_w250,16,6.12354953275908,107.311001938117,105.86412747532144,124.22085573686891,True,True,req
config_87_det2_b10_s12_h15_w250,17,5.33231413765071,101.419455756059,112.91399978400473,130.88302782340506,True,True,req
config_87_det2_b10_s12_h15_w250,18,4.76253492535128,96.2835680439318,120.05877073565078,135.67999750229296,True,True,req
config_87_det2_b10_s12_h15_w250,19,4.30879220439916,91.0479780688807,127.37144003312167,142.35345837425626,True,True,req
config_87_det2_b10_s12_h15_w250,20,3.94463241538417,86.7228654737704,133.8630925817701,151.54875957188756,True,True,req
config_88_det2_b10_s12_h15_w1000,1,1437.86820833333,1946.65627034505,10.902723283657162,14.613629958212146,False,False,req
config_88_det2_b10_s12_h15_w1000,2,270.273583333333,1110.42730712891,19.774361557329733,27.103158641260492,False,False,req
config_88_det2_b10_s12_h15_w1000,3,108.843,838.393432617188,30.33137608154302,35.929517229338515,False,False,req
config_88_det2_b10_s12_h15_w1000,4,61.6362135416667,660.314829508464,40.98001189604512,49.59202934948317,False,False,req
config_88_det2_b10_s12_h15_w1000,5,41.4805494791667,537.798126220703,51.419095431561225,64.66895109796594,False,False,req
config_88_det2_b10_s12_h15_w1000,6,30.7686484375,452.795272827148,65.28320515262712,75.27022236582006,False,False,req
config_88_det2_b10_s12_h15_w1000,7,24.04661328125,390.392094930013,82.20885825140743,89.95304539035907,True,False,req
config_88_det2_b10_s12_h15_w1000,8,19.4677135416667,342.550003051758,97.13802744033872,100.30445798501015,True,False,req
config_88_det2_b10_s12_h15_w1000,9,16.21081640625,304.876281738281,102.97678183562653,111.86496994144325,True,False,req
config_88_det2_b10_s12_h15_w1000,10,12.85248046875,271.698257446289,114.67845681876493,128.17474421880294,True,True,req
config_88_det2_b10_s12_h15_w1000,11,10.4575859375,248.922744750977,127.81542193074094,140.47178591763148,True,True,req
config_88_det2_b10_s12_h15_w1000,12,8.91555078125,228.986923217773,138.98889553965574,151.9447770664651,True,True,req
config_88_det2_b10_s12_h15_w1000,13,7.87199609375,211.807258605957,149.70175628005614,163.70603311355933,True,True,req
config_88_det2_b10_s12_h15_w1000,14,7.05954296875,196.793830871582,159.73492104107982,175.51110680270668,True,True,req
config_88_det2_b10_s12_h15_w1000,15,6.37659375,183.734001159668,166.4351909236078,189.4532887313153,True,True,req
config_88_det2_b10_s12_h15_w1000,16,5.808765625,172.296012878418,179.1899791034954,203.40516149356247,True,True,req
config_88_det2_b10_s12_h15_w1000,17,5.32770703125,162.19344329834,189.53690273928189,216.8725784366889,True,True,req
