ConfigName,Det,Height,BuildingSize,StreetWidth,AreaDensity,VolumeDensity,ChargeWeight,RadiusP,RadiusI,PressureAtR,ImpulseAtR,RadiusEstimator
config_62_det2_b30_s5_h24_w500,2,24,30,5,0.7346938775510204,0.7346938775510204,500,124.18786172569362,159.92693644286445,16.3347110748291,225.58970642089844,p95
config_63_det2_b30_s5_h24_w1500,2,24,30,5,0.7346938775510204,0.7346938775510204,1500,159.92693644286445,218.0241284626194,11.202038764953613,342.76031494140625,p95
config_64_det2_b30_s20_h4_w50,2,4,30,20,0.36,0.06,50,36.17100012440906,66.0804906912774,0.21224267706857064,0.5317127972841194,p95
config_65_det2_b30_s20_h4_w500,2,4,30,20,0.36,0.06,500,102.44665075052478,137.25204916503068,0.8079456303095883,4.753198593854904,p95
config_66_det2_b30_s20_h4_w1500,2,4,30,20,0.36,0.06,1500,135.48662295592138,205.8776942750234,0.3902412004827056,7.090784788131714,p95
config_67_det2_b30_s20_h12_w50,2,12,30,20,0.36,0.18000000000000002,50,40.18446528199672,61.30624968141502,20.381460189819336,0.5198184967040947,p95
config_68_det2_b30_s20_h12_w500,2,12,30,20,0.36,0.18000000000000002,500,90.80496269477786,115.74811013575989,20.42506980895996,15.56619444489479,p95
config_69_det2_b30_s20_h12_w1500,2,12,30,20,0.36,0.18000000000000002,1500,127.48423905689603,179.2208832697797,0.6123149491904769,1.4230912327766418,p95
config_70_det2_b30_s20_h24_w50,2,24,30,20,0.36,0.36000000000000004,50,40.18446528199672,61.30624968141502,20.381641387939453,0.5183800071477822,p95
config_71_det2_b30_s20_h24_w500,2,24,30,20,0.36,0.36000000000000004,500,85.42714000831351,109.75711822018653,4.935108215367654,166.10511779785156,p95
config_72_det2_b30_s20_h24_w1500,2,24,30,20,0.36,0.36000000000000004,1500,101.77487410947754,193.23851841700713,25.173633575439453,244.1027069091797,p95
config_73_det1_b10_s8_h10_w250,1,10,10,8,0.30864197530864196,0.1286008230452675,250,80.0271375818835,100.65567894088949,18.37110137939453,118.32573366165164,p95
config_74_det1_b10_s8_h10_w1000,1,10,10,8,0.30864197530864196,0.1286008230452675,1000,104.49931174654219,142.68847195877657,5.574560339009622,236.15325927734375,p95
config_75_det1_b10_s8_h15_w250,1,15,10,8,0.30864197530864196,0.19290123456790123,250,49.32592746542933,97.56279851301812,22.767358779907227,36.98255157470704,p95
config_76_det1_b10_s8_h15_w1000,1,15,10,8,0.30864197530864196,0.19290123456790123,1000,107.221465345313,141.52588209319313,4.896010262524943,213.2351837158203,p95
config_77_det1_b10_s12_h10_w250,1,10,10,12,0.2066115702479339,0.08608815426997246,250,48.03757870188787,82.95651962560174,9.967734336853027,1.9085703849792717,p95
config_78_det1_b10_s12_h10_w1000,1,10,10,12,0.2066115702479339,0.08608815426997246,1000,104.42935120520156,127.32588492346537,3.766897477762684,57.80980080366135,p95
config_79_det1_b10_s12_h15_w250,1,15,10,12,0.2066115702479339,0.1291322314049587,250,47.859068303165365,70.58046679569446,9.83889102935791,112.04312896728516,p95
config_80_det1_b10_s12_h15_w1000,1,15,10,12,0.2066115702479339,0.1291322314049587,1000,77.59647291517686,128.15058038232456,10.379351615905762,157.66616821289062,p95
config_81_det2_b10_s8_h10_w250,2,10,10,8,0.30864197530864196,0.1286008230452675,250,79.47486100420872,102.37358892392572,4.017504198109963,148.19284744262694,p95
config_82_det2_b10_s8_h10_w1000,2,10,10,8,0.30864197530864196,0.1286008230452675,1000,111.50928772976717,138.20304799101075,21.179140090942383,328.24627685546875,p95
config_83_det2_b10_s8_h15_w250,2,15,10,8,0.30864197530864196,0.19290123456790123,250,47.31364760827472,108.69572783693019,11.510570526123047,190.03099060058594,p95
config_84_det2_b10_s8_h15_w1000,2,15,10,8,0.30864197530864196,0.19290123456790123,1000,122.9645845553217,143.77560670753536,3.895017141854623,335.08978271484375,p95
config_85_det2_b10_s12_h10_w250,2,10,10,12,0.2066115702479339,0.08608815426997246,250,72.02663569819154,110.38721053636603,2.2508219977783424,22.106928861141995,p95
config_86_det2_b10_s12_h10_w1000,2,10,10,12,0.2066115702479339,0.08608815426997246,1000,128.46714603260443,166.89555116898714,1.0209178469157771,59.216466307640076,p95
config_87_det2_b10_s12_h15_w250,2,15,10,12,0.2066115702479339,0.1291322314049587,250,50.59526904760958,89.55144471196431,10.572053429439032,27.439311552048718,p95
config_88_det2_b10_s12_h15_w1000,2,15,10,12,0.2066115702479339,0.1291322314049587,1000,122.97022505468549,154.56617877922736,0.8706805965876788,56.86527273058891,p95
config_89_det1_b10_s5_h15_w250,1,15,10,5,0.4444444444444444,0.27777777777777773,250,75.28359162522042,113.06711005900932,20.55962562561035,46.28616138100624,p95
config_90_det1_b10_s5_h15_w1000,1,15,10,5,0.4444444444444444,0.27777777777777773,1000,105.47976252694485,140.1757208517057,4.7920011349080625,4.540902763605118,p95
config_91_det1_b10_s5_h24_w250,1,24,10,5,0.4444444444444444,0.4444444444444444,250,46.540963100713796,116.57996499218999,9.70826530456543,48.8665686249733,p95
config_92_det1_b10_s5_h24_w1000,1,24,10,5,0.4444444444444444,0.4444444444444444,1000,121.36888603911146,154.949579703924,18.661664962768555,319.92572021484375,p95
config_93_det2_b10_s5_h15_w250,2,15,10,5,0.4444444444444444,0.27777777777777773,250,86.03851654500039,108.25534386726683,17.98843002319336,51.59742033481598,p95
config_94_det2_b10_s5_h15_w1000,2,15,10,5,0.4444444444444444,0.27777777777777773,1000,115.44256688934112,142.18166196806112,20.597991943359375,3.891060918569565,p95
config_95_det2_b10_s5_h24_w250,2,24,10,5,0.4444444444444444,0.4444444444444444,250,47.62877281643944,124.93572029914671,0.526437520980835,52.810843843221654,p95
config_96_det2_b10_s5_h24_w1000,2,24,10,5,0.4444444444444444,0.4444444444444444,1000,136.88603940762727,167.95125781011586,17.82662582397461,318.955810546875,p95
